종목명,종목코드,시가총액
HD현대미포,010620,7421251284200
한화,000880,7113583951500
한국금융지주,071050,7093918781600
SK바이오팜,326030,7063855150000
HLB,028300,6991814575200
S-Oil,010950,6923841708000
코웨이,021240,6831367635000
NH투자증권,005940,6222457056000
삼성증권,016360,6009890000000
LG유플러스,032640,5798198874080
LS,006260,5767020000000
맥쿼리인프라,088980,5727907036280
삼성카드,029780,5671292714450
에코프로,086520,5607555077600
현대차2우B,005387,5604717979000
한화솔루션,009830,5500561152000
레인보우로보틱스,277810,5296161234000
LG생활건강,051900,5286759684500
에이피알,278470,5184635535000
넷마블,251270,5148614769800
키움증권,039490,5049789928500
두산밥캣,241560,4974929773500
한국타이어앤테크놀로지,161390,4787771416850
CJ,001040,4752932974200
파마리서치,214450,4750339200000
펩트론,087010,4652480795000
LG디스플레이,034220,4595000000000
휴젤,145020,4577100276000
현대오토에버,307950,4516729835400
삼성E&A,028050,4439400000000
한전기술,052690,4357080000000
GS,078930,4311273539200
오리온,271560,4230366124000
SKC,011790,4188233758800
JB금융지주,175330,4139935202200
엔씨소프트,036570,4104136191000
클래시스,214150,4054800292100
리가켐바이오,141080,3920967199800
현대제철,004020,3896616922000
강원랜드,035250,3863765430000
리노공업,058470,3856319610000
한미약품,128940,3798458831500
삼천당제약,000250,3781344486400
코오롱티슈진,950160,3761804025500
BNK금융지주,138930,3753741689010
현대차우,005385,3706544448000
CJ제일제당,097950,3582896268000
포스코DX,022100,3565214395050
풍산,103140,3545071167000
SK바이오사이언스,302440,3530529982250
LG이노텍,011070,3502731836000
한국가스공사,036460,3489431400000
이수페타시스,007660,3461244675850
에이비엘바이오,298380,3445488497000
실리콘투,257720,3401158084800
현대엘리베이터,017800,3373672825500
두산로보틱스,454910,3318782976000
F&F,383220,3099042367500
한미사이언스,008930,3091298060000
에스엠,041510,3090783150000
시프트업,462870,2997867720000
금호석유화학,011780,2995225248400
대한전선,001440,2988750219000
코스맥스,192820,2911149058500
에코프로머티,450080,2902195596000
젬백스,082270,2873580633400
한화생명,088350,2866149000000
롯데지주,004990,2864022170100
서울보증보험,031210,2827774719000
KCC,002380,2772578952000
펄어비스,263750,2749808194000
JYP Ent.,035900,2686256395200
동서,026960,2671960000000
롯데케미칼,011170,2669186145600
한전KPS,051600,2655000000000
영원무역,111770,2614376612000
한화비전,489790,2610249763000
에스원,012750,2606743610800
산일전기,062040,2578708440000
한화엔진,082740,2495069545800
HD현대인프라코어,042670,2426647003200
농심,004370,2384395664000
아모레퍼시픽홀딩스,002790,2359907946000
제일기획,030000,2358345112500
HPSP,403870,2354659617600
이마트,139480,2279414649400
현대해상,001450,2252880000000
셀트리온제약,068760,2166463123200
더존비즈온,012510,2138947993600
달바글로벌,483650,2116785125000
팬오션,028670,2108876724840
롯데쇼핑,023530,2101854496500
BGF리테일,282330,2101722969600
한온시스템,018880,2100770098440
DB하이텍,000990,2082293777200
한국콜마,161890,2077246776000
SK가스,018670,2070934656000
신성델타테크,065350,2011824993600
미스토홀딩스,081660,1995181854800
호텔신라,008770,1982030110500
씨에스윈드,112610,1975730230550
아시아나항공,020560,1973391011380
파크시스템스,140860,1967678525500
코리안리,003690,1957951361550
CJ대한통운,000120,1950455412000
iM금융지주,139130,1948460074430
신영증권,001720,1934988000000
동원산업,006040,1925730482400
GS건설,006360,1899909078000
이오테크닉스,039030,1892282880000
DL이앤씨,375500,1888248802400
SNT다이내믹스,003570,1862151032000
HD현대마린엔진,071970,1838545029000
대우건설,047040,1826661494010
한국앤컴퍼니,000240,1802820207600
대웅제약,069620,1791284495000
한솔케미칼,014680,1790960810000
신세계,004170,1781464930700
엘앤에프,066970,1777676717300
영원무역홀딩스,009970,1776499589200
씨젠,096530,1765238597200
SK아이이테크놀로지,361610,1761050522400
CJ ENM,035760,1749946489200
보로노이,310210,1741386120300
네이처셀,007390,1739746512000
두산우,000155,1712483967000
현대백화점,069960,1676795043300
