Date,Ticker,Market,Name,Sector,Close,PER,PBR,ROE,ROIC,EPS,MarketCap,Return_3M,Return_6M,Volatility,Quality_Score,Value_Score,Momentum_Score,Final_Score
2025-06-21,GOOGL,US,Alphabet Inc.,Communication Services,166.63999938964844,18.57748,5.866573,34.789002,24.046128171846696,8.97,2028092129280.0,0.017389657446153173,-0.14525691947088026,0.3189276301056898,71.57894736842105,52.92307692307692,25.5,53.50060728744939
2025-06-21,AMZN,US,"Amazon.com, Inc.",Consumer Cyclical,209.69000244140625,34.151466,7.2758503,25.240000000000002,12.340717729747883,6.14,2226152800256.0,0.06870187689864826,-0.09284011257507763,0.3474227899087871,35.921052631578945,32.53846153846153,31.5,35.73785425101214
2025-06-21,TSLA,US,"Tesla, Inc.",Consumer Cyclical,322.1600036621094,185.14943,13.89579,9.035460332,6.929136458270357,1.74,1037664518144.0,0.2953238509327212,-0.3010973657690285,0.7145747407432606,10.263157894736842,9.07692307692308,32.5,15.552024291497977
2025-06-21,META,US,"Meta Platforms, Inc.",Communication Services,682.3499755859375,26.664711,9.304307,39.835,22.45821050768892,25.59,1715653050368.0,0.1452830414828783,0.10338777160245738,0.3723276323419785,71.71052631578948,35.15384615384615,56.0,53.85931174089069
2025-06-21,NVDA,US,NVIDIA Corporation,Technology,143.85000610351562,46.254025,41.84119,115.46300000000001,66.19567690873593,3.11,3508156497920.0,0.222259957683415,0.10340689103051792,0.5818873169546978,97.36842105263158,16.384615384615383,59.49999999999999,53.225910931174084
2025-06-21,NFLX,US,"Netflix, Inc.",Communication Services,1231.4100341796875,58.14023,21.815718,40.842,19.374940780066723,21.18,524052398080.0,0.2823314439970379,0.33975610374801124,0.3241174074633052,66.84210526315789,13.76923076923077,78.0,55.58340080971659
2025-06-21,ADBE,US,Adobe Inc.,Technology,376.9200134277344,24.16154,14.091522,52.254003000000004,28.796934675859333,15.6,160643317760.0,-0.026700397864857117,-0.1720229239476604,0.34305913279071537,87.10526315789474,34.23076923076923,20.0,48.90080971659919
2025-06-21,CRM,US,"Salesforce, Inc.",Technology,260.6300048828125,40.78717,4.1156874,10.312000000000001,7.923241231998898,6.39,249162285056.0,-0.06830067872920598,-0.2542047198492259,0.32764918306136204,15.394736842105264,36.92307692307692,9.0,25.895344129554655
2025-06-21,PYPL,US,"PayPal Holdings, Inc.",Financial Services,70.05000305175781,15.741574,3.3860211,22.198999,14.266734882492738,4.45,90621466337.28,-0.0019945773582970006,-0.22903364977770968,0.37305043913801184,38.28947368421053,59.46153846153846,16.5,39.0253036437247
2025-06-21,CMCSA,US,Comcast Corporation,Communication Services,34.529998779296875,8.504926,1.4922857,18.049,9.462884437295902,4.06,128924663808.0,-0.05188759778507113,-0.09443066523565646,0.28014392129041904,25.526315789473685,75.6923076923077,20.0,45.115587044534415
2025-06-21,AVGO,US,Broadcom Inc.,Technology,249.99000549316406,90.90546,4.221307,18.977,8.316080565496437,2.75,1175820566528.0,0.30741110043104625,0.049036610497892985,0.6153613536415786,25.657894736842103,23.615384615384613,58.5,33.33198380566802
2025-06-21,TXN,US,Texas Instruments Incorporated,Technology,198.1999969482422,37.609108,10.981826,29.189,13.134037181546937,5.27,180059144192.0,0.11670907516685647,0.07042906873119748,0.39432498071123206,41.05263157894737,26.46153846153846,52.0,39.854251012145745
2025-06-21,QCOM,US,QUALCOMM Incorporated,Technology,151.32000732421875,15.4250765,6.0030947,42.205003000000005,18.46399237312995,9.81,166149373952.0,-0.029275775453556196,-0.030839563417367488,0.43057557760075266,66.97368421052632,55.0,26.5,47.54210526315789
2025-06-21,COST,US,Costco Wholesale Corporation,Consumer Defensive,980.2899780273438,55.54051,16.028547,32.08,21.83404402081896,17.65,434736037888.0,0.07952315412673983,0.0005821803835923678,0.23561393708992612,58.68421052631579,16.30769230769231,38.5,43.797570850202426
2025-06-21,GILD,US,"Gilead Sciences, Inc.",Healthcare,108.5,22.794117,7.0495744,32.654998,17.112464976868445,4.76,134966403072.0,0.02045573855092586,0.18574686990038303,0.25954856956290506,51.315789473684205,42.76923076923077,55.0,53.72550607287449
2025-06-21,AMGN,US,Amgen Inc.,Healthcare,289.3299865722656,26.374657,25.063236,105.67299000000001,8.250727537286286,10.97,155574468608.0,-0.07642421089106088,0.10639240151801599,0.2569951634644353,54.73684210526316,29.692307692307693,41.0,46.87874493927125
