ticker,name,market,is_kospi200
191420,테고사이언스,KOSDAQ,No
357430,마스턴프리미어리츠,KOSPI,No
014200,광림,KOSDAQ,No
067310,하나마이크론,KOSDAQ,No
065650,하이퍼코퍼레이션,KOSDAQ,No
298830,슈어소프트테크,KOSDAQ,No
344860,이노진,KOSDAQ,No
250000,보라티알,KOSDAQ,No
067280,멀티캠퍼스,KOSDAQ,No
063080,컴투스홀딩스,KOSDAQ,No
010120,LS ELECTRIC,KOSPI,Yes
009730,이렘,KOSDAQ,No
250060,모비스,KOSDAQ,No
000490,대동,KOSPI,No
095270,웨이브일렉트로,KOSDAQ,No
060370,LS마린솔루션,KOSDAQ,No
900250,크리스탈신소재,KOSDAQ,No
068240,다원시스,KOSDAQ,No
095190,이엠코리아,KOSDAQ,No
123420,위메이드플레이,KOSDAQ,No
072710,농심홀딩스,KOSPI,No
147830,제룡산업,KOSDAQ,No
000320,노루홀딩스,KOSPI,No
089860,롯데렌탈,KOSPI,No
046970,우리로,KOSDAQ,No
010820,퍼스텍,KOSPI,No
024810,이화전기,KOSDAQ,No
367000,플래티어,KOSDAQ,No
476470,KB제28호스팩,KOSDAQ,No
105550,엣지파운드리,KOSDAQ,No
003490,대한항공,KOSPI,Yes
452160,제이엔비,KOSDAQ,No
054630,에이디칩스,KOSDAQ,No
124500,아이티센글로벌,KOSDAQ,No
001430,세아베스틸지주,KOSPI,Yes
177350,베셀,KOSDAQ,No
271560,오리온,KOSPI,Yes
215600,신라젠,KOSDAQ,No
267260,HD현대일렉트릭,KOSPI,Yes
001810,무림SP,KOSDAQ,No
044060,조광ILI,KOSDAQ,No
063570,NICE인프라,KOSDAQ,No
058970,엠로,KOSDAQ,No
036180,지더블유바이텍,KOSDAQ,No
004310,현대약품,KOSPI,No
002070,비비안,KOSPI,No
452980,신한제11호스팩,KOSDAQ,No
285800,진영,KOSDAQ,No
053950,경남제약,KOSDAQ,No
131090,시큐브,KOSDAQ,No
487360,신한제14호스팩,KOSDAQ,No
265740,엔에프씨,KOSDAQ,No
131970,두산테스나,KOSDAQ,No
362320,청담글로벌,KOSDAQ,No
146320,비씨엔씨,KOSDAQ,No
026940,부국철강,KOSPI,No
053580,웹케시,KOSDAQ,No
101140,인바이오젠,KOSPI,No
143240,사람인,KOSDAQ,No
044340,위닉스,KOSDAQ,No
448760,IBKS제22호스팩,KOSDAQ,No
123750,알톤,KOSDAQ,No
